,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
18,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,66.0,13695,5,5,2004,2004,0.0,646,468,1114,1114,0,1114,1,0,1,1,3,6,0,2004.0,2,576,0,102,0,6,2008,159000
19,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,COD,Abnorml,20,70.0,7560,5,6,1958,1965,0.0,504,525,1029,1339,0,1339,0,0,1,0,3,6,0,1958.0,1,294,0,0,0,5,2009,139000
20,RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,60,101.0,14215,8,5,2005,2006,380.0,0,1158,1158,1158,1218,2376,0,0,3,1,4,9,1,2005.0,3,853,240,154,0,11,2006,325300
21,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,Gd,GdPrv,Shed,WD,Normal,45,57.0,7449,7,7,1930,1950,0.0,0,637,637,1108,0,1108,0,0,1,0,3,6,1,1930.0,1,280,0,0,205,6,2007,139400
22,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,75.0,9742,8,5,2002,2002,281.0,0,1777,1777,1795,0,1795,0,0,2,0,3,7,1,2002.0,2,534,171,159,0,9,2008,230000
23,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,44.0,4224,5,7,1976,1976,0.0,840,200,1040,1060,0,1060,1,0,1,0,3,6,1,1976.0,2,572,100,110,0,6,2007,129900
24,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,8246,5,8,1968,2001,0.0,188,204,1060,1060,0,1060,1,0,1,0,3,6,1,1968.0,1,270,406,90,0,5,2010,154000
25,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,110.0,14230,8,5,2007,2007,640.0,0,1566,1566,1600,0,1600,0,0,2,0,3,7,1,2007.0,3,890,0,56,0,7,2009,256300
26,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,60.0,7200,5,7,1951,2000,0.0,234,180,900,900,0,900,0,1,1,0,3,5,0,2005.0,2,576,222,32,0,5,2010,134800
27,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,98.0,11478,8,5,2007,2008,200.0,1218,486,1704,1704,0,1704,1,0,2,0,3,7,1,2008.0,3,772,0,50,0,5,2010,306000
28,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,47.0,16321,5,6,1957,1997,0.0,1277,207,1484,1600,0,1600,1,0,1,0,2,6,2,1957.0,1,319,288,258,0,12,2006,207500
29,RM,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,Gd,Detchd,Unf,Fa,TA,Y,Gd,MnPrv,Shed,WD,Normal,30,60.0,6324,4,6,1927,1950,0.0,0,520,520,520,0,520,0,0,1,0,1,4,0,1920.0,1,240,49,0,87,5,2008,68500
30,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,Fa,N,Gd,MnPrv,Shed,WD,Normal,70,50.0,8500,4,4,1920,1950,0.0,0,649,649,649,668,1317,0,0,1,0,3,6,0,1920.0,1,250,0,54,172,7,2008,40000
31,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,8544,5,6,1966,2006,0.0,0,1228,1228,1228,0,1228,0,0,1,1,3,6,0,1966.0,1,271,0,65,0,6,2008,149350
32,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,85.0,11049,8,5,2007,2007,0.0,0,1234,1234,1234,0,1234,0,0,2,0,3,7,0,2007.0,2,484,0,30,0,1,2008,179900
33,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.0,10552,5,5,1959,1959,0.0,1018,380,1398,1700,0,1700,0,1,1,1,4,6,1,1959.0,2,447,0,38,0,4,2010,165500
34,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,60.0,7313,9,5,2005,2005,246.0,1153,408,1561,1561,0,1561,1,0,2,0,2,6,1,2005.0,2,556,203,47,0,8,2007,277500
35,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,108.0,13418,8,5,2004,2005,132.0,0,1117,1117,1132,1320,2452,0,0,3,1,4,9,1,2004.0,3,691,113,32,0,9,2006,309000
36,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,112.0,10859,5,5,1994,1995,0.0,0,1097,1097,1097,0,1097,0,0,1,1,3,6,0,1995.0,2,672,392,64,0,6,2009,145000
37,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,74.0,8532,5,6,1954,1990,650.0,1213,84,1297,1297,0,1297,0,1,1,0,3,5,1,1954.0,2,498,0,0,0,10,2009,153000
38,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,20,68.0,7922,5,7,1953,2007,0.0,731,326,1057,1057,0,1057,1,0,1,0,3,5,0,1953.0,1,246,0,52,0,1,2010,109000
39,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,BrkFace,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,N,FuseP,Fa,Typ,Gd,Attchd,Unf,TA,TA,N,Gd,MnPrv,Shed,WD,AdjLand,90,65.0,6040,4,5,1955,1955,0.0,0,0,0,1152,0,1152,0,0,2,0,2,6,0,1978.5061638868744,0,0,0,0,0,6,2008,82000
40,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,GdWo,Shed,WD,Abnorml,20,84.0,8658,6,5,1965,1965,101.0,643,445,1088,1324,0,1324,0,0,2,0,3,6,1,1965.0,2,440,0,138,0,12,2006,160000
41,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,P,Gd,MnPrv,Shed,WD,Normal,20,115.0,16905,5,6,1959,1959,0.0,967,383,1350,1328,0,1328,0,1,1,1,2,5,2,1959.0,1,308,0,104,0,7,2007,170000
42,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,Gd,Y,Gd,MnPrv,Shed,WD,Normal,85,70.04995836802665,9180,5,7,1983,1983,0.0,747,0,840,884,0,884,1,0,1,0,2,5,0,1983.0,2,504,240,0,0,12,2007,144000
43,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,9200,5,6,1975,1980,0.0,280,167,938,938,0,938,1,0,1,0,3,5,0,1977.0,1,308,145,0,0,7,2008,130250
44,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.0,7945,5,6,1959,1959,0.0,179,465,1150,1150,0,1150,1,0,1,0,3,6,0,1959.0,1,300,0,0,0,5,2006,141000
45,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,61.0,7658,9,5,2005,2005,412.0,456,1296,1752,1752,0,1752,1,0,2,0,2,6,1,2005.0,2,576,196,82,0,2,2010,319900
46,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Ex,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,50,48.0,12822,7,5,2003,2003,0.0,1351,83,1434,1518,631,2149,1,0,1,1,1,6,1,2003.0,2,670,168,43,0,8,2009,239686
47,FV,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,84.0,11096,8,5,2006,2006,0.0,24,1632,1656,1656,0,1656,0,0,2,0,3,7,0,2006.0,3,826,0,146,0,7,2007,249700
48,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,N,Gd,MnPrv,Shed,New,Partial,190,33.0,4456,4,5,1920,2008,0.0,0,736,736,736,716,1452,0,0,2,0,2,8,0,1978.5061638868744,0,0,0,0,102,6,2009,113000
49,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,66.0,7742,5,7,1966,1966,0.0,763,192,955,955,0,955,1,0,1,0,3,6,0,1966.0,1,386,0,0,0,1,2007,127000
